estimated_rows,detected_rows,estimated_cells,detected_cells,estimated_missing_percent,low_confidence_count,needs_verification_percent,page_num
102,37,1734,552,68.2,13,2.4,83
101,48,1717,743,56.7,24,3.2,84
120,51,2160,168,92.2,23,13.7,85
101,92,1818,782,57.0,17,2.2,86
120,100,2160,862,60.1,33,3.8,87
120,109,1080,920,14.8,33,3.6,88
102,65,1530,686,55.2,11,1.6,89
120,54,1440,248,82.8,13,5.2,90
102,66,1836,949,48.3,22,2.3,91
101,65,1818,912,49.8,21,2.3,92
102,62,1836,735,60.0,12,1.6,93
101,50,1717,789,54.0,20,2.5,94
120,49,1680,217,87.1,22,10.1,95
101,78,1717,748,56.4,22,2.9,96
102,82,1530,783,48.8,15,1.9,97
101,74,2020,743,63.2,35,4.7,98
102,97,1326,728,45.1,26,3.6,99
119,62,1071,336,68.6,24,7.1,100
101,54,1818,664,63.5,12,1.8,101
101,28,1818,361,80.1,9,2.5,102
102,33,1734,452,73.9,6,1.3,103
101,14,1818,81,95.5,3,3.7,104
120,110,2160,781,63.8,37,4.7,105
101,75,1717,720,58.1,11,1.5,106
102,15,1734,108,93.8,2,1.9,107
101,52,1818,636,65.0,11,1.7,108
101,35,1818,423,76.7,18,4.3,109
101,38,1717,413,75.9,2,0.5,110
101,12,1818,61,96.6,3,4.9,111
101,79,1717,761,55.7,16,2.1,112
120,101,1920,601,68.7,31,5.2,113
101,71,1818,764,58.0,15,2.0,114
101,31,1818,423,76.7,10,2.4,115
101,38,1717,518,69.8,6,1.2,116
120,44,2280,114,95.0,19,16.7,117
101,80,1717,764,55.5,8,1.0,118
120,102,2160,819,62.1,28,3.4,119
101,81,1818,651,64.2,12,1.8,120
101,51,1818,668,63.3,15,2.2,121
101,36,1818,506,72.2,13,2.6,122
101,37,1616,514,68.2,10,1.9,123
102,8,1836,64,96.5,1,1.6,124
147,147,2646,676,74.5,27,4.0,125
101,81,1717,689,59.9,13,1.9,126
102,76,1836,604,67.1,16,2.6,127
101,57,1818,739,59.4,18,2.4,128
101,54,1818,714,60.7,12,1.7,129
101,21,1818,267,85.3,4,1.5,130
101,45,1717,477,72.2,10,2.1,131
101,15,1818,174,90.4,2,1.1,132
102,86,1632,806,50.6,18,2.2,133
101,84,1717,713,58.5,13,1.8,134
102,79,1734,646,62.7,6,0.9,135
102,26,1734,243,86.0,5,2.1,136
120,86,2160,754,65.1,37,4.9,137
101,75,1818,728,60.0,22,3.0,138
102,34,306,344,0.0,19,5.5,139
101,37,1717,616,64.1,16,2.6,140
101,19,1818,168,90.8,3,1.8,141
101,81,1616,620,61.6,25,4.0,142
101,79,1616,755,53.3,14,1.9,143
101,84,1818,947,47.9,18,1.9,144
101,32,1616,280,82.7,7,2.5,145
101,59,1818,758,58.3,21,2.8,146
102,57,1836,806,56.1,22,2.7,147
101,21,1818,293,83.9,5,1.7,148
101,42,1717,577,66.4,10,1.7,149
101,16,1818,166,90.9,3,1.8,150
101,82,1616,844,47.8,19,2.3,151
101,85,1717,881,48.7,26,3.0,152
120,98,2280,812,64.4,32,3.9,153
101,32,1717,262,84.7,7,2.7,154
101,43,1818,410,77.4,11,2.7,155
119,65,1904,373,80.4,23,6.2,156
101,9,1717,105,93.9,3,2.9,157
101,70,1717,320,81.4,9,2.8,158
101,61,1818,755,58.5,14,1.9,159
101,61,1818,797,56.2,10,1.3,160
101,11,1919,148,92.3,5,3.4,161
120,65,840,504,40.0,19,3.8,162
101,14,1616,154,90.5,1,0.6,163
101,81,1616,579,64.2,15,2.6,164
119,104,2142,800,62.7,36,4.5,165
101,86,1717,726,57.7,9,1.2,166
101,30,1616,221,86.3,2,0.9,167
101,65,1818,678,62.7,35,5.2,168
101,32,1818,466,74.4,6,1.3,169
101,43,1717,574,66.6,9,1.6,170
102,10,1428,96,93.3,2,2.1,171
122,122,1708,849,50.3,41,4.8,172
101,79,1717,881,48.7,23,2.6,173
101,69,1717,681,60.3,17,2.5,174
102,27,1734,222,87.2,4,1.8,175
101,40,1818,497,72.7,16,3.2,176
102,31,1734,455,73.8,5,1.1,177
102,10,1734,109,93.7,2,1.8,178
120,96,2160,544,74.8,32,5.9,179
101,44,1818,574,68.4,14,2.4,180
101,38,1717,451,73.7,13,2.9,181
101,8,1919,106,94.5,1,0.9,182
102,68,1938,508,73.8,9,1.8,183
102,42,2244,511,77.2,14,2.7,184
102,38,1734,407,76.5,12,2.9,185
101,13,1818,131,92.8,2,1.5,186
119,93,1785,413,76.9,29,7.0,187
101,55,1818,649,64.3,13,2.0,188
101,57,1818,718,60.5,7,1.0,189
102,22,1836,270,85.3,8,3.0,190
101,40,1717,499,70.9,10,2.0,191
101,15,1818,141,92.2,5,3.5,192
119,103,2142,598,72.1,27,4.5,193
102,79,1836,658,64.2,12,1.8,194
102,85,1734,636,63.3,2,0.3,195
101,25,1818,151,91.7,2,1.3,196
101,62,1818,785,56.8,10,1.3,197
101,59,1818,752,58.6,15,2.0,198
101,32,1818,200,89.0,14,7.0,199
101,78,1717,617,64.1,20,3.2,200
102,18,1836,168,90.8,11,6.5,201
