Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Page,Column_18,Column_19,Column_20,Column_21
=== TABLE 1: Pages 1-8 ===,,,,,,,,,,,,,,,,,,,,,,
,,4455,55,27,182,,311,194,207,,247,278,303,,430,480,,2,,,,
,,4,56,,,1011,286,135,,193,218,243,266,,370,,,2,,,,
,,,57,25,86,323,203,134,145,165,1861,207,219,236,257,294,,2,,,,
,,,55,285,51,,281,140,168,195,217,240,264,298,361,499,,2,,,,
,,,55,24,44,327 3271127,127,,78,83,89,97,105,130,145,278,,2,,,,
,,,36,41,66,263,178,,,lie,129,152,167,208,236,,,2,,,,
,,,55 56,65,44,563,159,77,84,94,110,129,149,181,224,298,,2,,,,
,,,55,12,84,271,177,,,154,,,,210,,,,2,,,,
,,6156,56,,,,,89,134,,162,1721,201,,,236,,2,,,,
,,,,42,,,192,125,131,140,149,167,161,194,222,303,,2,,,,
,,,55 56,54,84,,189,124,133,141,154,168,183,201,220,278,,2,,,,
,,,55,,135,316,240,145,145,201,,236,294,294,311,311,,2,,,,
,,7156,56,38,76,910,229,94,132,145,162,191,216,236,268,385,,2,,,,
,,,55 56,44,76,910,230,94,134,149,171,201,219,247,288,385,,2,,,,
,,,53,14,71,414,224,71,89,105,213,224,236,278,356,419,,2,,,,
,,,54,107,29,760,203,76,94,116,137,160,186,220,268,385,,2,,,,
,,,55,391,44,621,215,107,137,156,172,200,223,252,290,331,,2,,,,
,,,56,,,,239,,,,,,,,,,,2,,,,
,,,,661,,O11,,123,146,166,186,207,228,256,298,,,2,,,,
,,,57,25,86,323,203,134,145,165,,207,219,236,257,294,,2,,,,
,,,53 57,1198,29,011,227,108,138,158,178,202,223,251,292,373,,2,,,,
,ALTOONA PA,1155,55,,82,125,100,,89,89,89,105,108,105,105,145,,2,,,,
,,,,24,61,411,,71,890,83,89,117,127,141,158,191,,2,,,,
,,,55 56,27,61,411,125,76,79,84,89,117,127,138,158,181,,2,,,,
,BRISTOL PA,,55,31,27 27,229,96,47,65,73,81,92,100,108,117,145,,2,,,,
,,,56,12,52,177,107,55,65,89,97,105,114,123,145,,,2,,,,
,,,55,43,27,229,99,,68,78,85,95,103,112,121,158,,2,,,,
,,,,31,,,,,,,,,,,,,,2,,,,
,CHE TER PA,,55,31,40,273,134,76,94,102,123,136,145,158,171,194,,2,,,,
,,,56,13,38,323,136,40,65,76,97,123,158,171,186,236,,2,,,,
,,,55 56,44,38,323,135,65,91,99,117,132,145,161,176,201,,2,,,,
,ERIE PA,,,1,90,90,90,,,,,105,105,105,105,105,,2,,,,
,,,56,49,25,550,80,36,42,46,53,63,70,77,85,97,,2,,,,
,,,55 56,50,25,550,80,36,42 42,46,53,63,71,79,86,99,,2,,,,
,PITTSBURGH PA,,,71,43,311,134,68,83,,104,,134,150,164,222 222,,3,,,,
,,2457,57,23,78 78,534,203,85,100,134,158,181,191,201,257,419,,3,,,,
,,,,,,,,73,89,,,,,,,,,3,,,,
,,,56 57,94,43,534,150,73,89,99,111,129,143,,196,253,,3,,,,
,,1,,6,85,268,178,89,89,145,145,171,219,219,236,236,,3,,,,
,,,56,40,74,515,213,123,152,165,179,194,215,247,285,313,,3,,,,
,,,55 56,46,74,515,209,123,148,162,175,194,216,236,278,306,,3,,,,
,,,57,20,41,214,111,55,71,83,105,111,117,123,145,,,3,,,,
,,1157,57,,33,268,165,34,97,105,130,145,219,236,250,264,,3,,,,
,,,57,11,65,199,113,65,76,83,89,105,130,138,145,,,3,,,,
,,1457,,26,62,466,176,76,89,101,114,,186,219,264,303,,3,,,,
,,,53,10,93,276,162,105,114,123,130,138,145,171,236,257,,3,,,,
,,,54,34,66,186,119,83,96,103,111,117,123,134,142,165,,3,,,,
,,,53 54,44,66,276,129,89,99,107,115,,129,139,150,186,,3,,,,
,,2155,55,47,70,263,161,114,129,138,147,,169,i81,194,210,,3,,,,
,,,56,23,84,459,192,123,136,145,158,177,189,201,224,303,,3,,,,
,,,55 56,70,70,459,171,117,131,140,150,162,175,187,199,231,,3,,,,
,,,56,14,67,198,104,69,76,91,96,98,100,105,114,145,,3,,,,
,,,57,26,41,258,94,55,62,76,81,89,99,105,119,130,,3,,,,
,,,56 57,40,41,258,,58,69,79,89,94,100,105,117,134,,3,,,,
,,,53,10,93,276,162,105,114,123,130,138,145,171,236,257,,3,,,,
,,,54,34,66,186,119,83,96,103,111,117,123,134,142,165,,3,,,,
,,,55,47,70,263,161,114,129,138,147,159,169,181,194,210,,3,,,,
,,,56,,67,459,159,89,96,105,127,141,158,181,201,236,,3,,,,
,,,57,26,41,258 258,94,55,62,76,,89,99,105,119,130,,3,,,,
,,,53 57,154,41,459,140,76,95,106,120,,,,180,210,,3,,,,
,,,,,,,,,,,,131,142,159,,,,3,,,,
,,,54,22,72,,192,105,123,145,171,180,188,197,278,311,,3,,,,
,,,,29,82,353,192,,130,149,162,177,189,213,250,303,,3,,,,
,,,56,22,81,219,129,92,99,109,116,123,132,141,158,,,3,,,,
,,,57,,130,130,130,,,,,145,145,145,145,145,,3,,,,
,,,54 57,74,72,384,172,98,114,127,141,156,171,,215,,,3,,,,
,,2154,54,13,65,260,138,65,94,100,105,130,138,145,186,236,,3,,,,
,,,,,,,,,,,,,,,201,,,3,,,,
,,,55,16,59,234,150,65,105,123,134,154,171,181,,213,,3,,,,
,,,56,5,48,159,114,55,55,114,114,1253,123,145,145,171,,3,,,,
,,,54 56,34,48,260,140,62,97,109,123,134,145,171,189,219,,3,,,,
,,,54,5,78,124,103,89,89,97,97,105,105,123,123,145,,3,,,,
,,4157,57,16,115,358,209,145,154,171,181,201,224,236,264,278,,3,,,,
,,,54,40,65,384,163,89,100,114,129,142,174,188,201,278,,3,,,,
,,,55,45,59,353,177,105,119,,,,,,,,,3,,,,
,,,56,27,,,,,,141 108,154,168,182,201,224,278,,3,,,,
,,,,,48,,,92,99,,115,,130,141,155,166,,3,,,,
